"","x","value","variable","panel"
"299",514,23040.8163265306,"stable potential","Time of Sample Trajectory"
"300",516,23061.2244897959,"stable potential","Time of Sample Trajectory"
"301",505,23081.6326530612,"stable potential","Time of Sample Trajectory"
"302",500,23102.0408163265,"stable potential","Time of Sample Trajectory"
"303",509,23122.4489795918,"stable potential","Time of Sample Trajectory"
"304",497,23142.8571428571,"stable potential","Time of Sample Trajectory"
"305",500,23163.2653061224,"stable potential","Time of Sample Trajectory"
"306",506,23183.6734693878,"stable potential","Time of Sample Trajectory"
"307",508,23204.0816326531,"stable potential","Time of Sample Trajectory"
"308",520,23224.4897959184,"stable potential","Time of Sample Trajectory"
"309",514,23244.8979591837,"stable potential","Time of Sample Trajectory"
"310",513,23265.306122449,"stable potential","Time of Sample Trajectory"
"311",515,23285.7142857143,"stable potential","Time of Sample Trajectory"
"312",524,23306.1224489796,"stable potential","Time of Sample Trajectory"
"313",531,23326.5306122449,"stable potential","Time of Sample Trajectory"
"314",555,23346.9387755102,"stable potential","Time of Sample Trajectory"
"315",549,23367.3469387755,"stable potential","Time of Sample Trajectory"
"316",549,23387.7551020408,"stable potential","Time of Sample Trajectory"
"317",548,23408.1632653061,"stable potential","Time of Sample Trajectory"
"318",560,23428.5714285714,"stable potential","Time of Sample Trajectory"
"319",545,23448.9795918367,"stable potential","Time of Sample Trajectory"
"320",548,23469.387755102,"stable potential","Time of Sample Trajectory"
"321",563,23489.7959183673,"stable potential","Time of Sample Trajectory"
"322",558,23510.2040816327,"stable potential","Time of Sample Trajectory"
"323",556,23530.612244898,"stable potential","Time of Sample Trajectory"
"324",558,23551.0204081633,"stable potential","Time of Sample Trajectory"
"325",560,23571.4285714286,"stable potential","Time of Sample Trajectory"
"326",552,23591.8367346939,"stable potential","Time of Sample Trajectory"
"327",540,23612.2448979592,"stable potential","Time of Sample Trajectory"
"328",525,23632.6530612245,"stable potential","Time of Sample Trajectory"
"329",516,23653.0612244898,"stable potential","Time of Sample Trajectory"
"330",513,23673.4693877551,"stable potential","Time of Sample Trajectory"
"331",510,23693.8775510204,"stable potential","Time of Sample Trajectory"
"332",505,23714.2857142857,"stable potential","Time of Sample Trajectory"
"333",489,23734.693877551,"stable potential","Time of Sample Trajectory"
"334",504,23755.1020408163,"stable potential","Time of Sample Trajectory"
"335",504,23775.5102040816,"stable potential","Time of Sample Trajectory"
"336",504,23795.9183673469,"stable potential","Time of Sample Trajectory"
"337",507,23816.3265306122,"stable potential","Time of Sample Trajectory"
"338",519,23836.7346938776,"stable potential","Time of Sample Trajectory"
"339",533,23857.1428571429,"stable potential","Time of Sample Trajectory"
"340",536,23877.5510204082,"stable potential","Time of Sample Trajectory"
"341",535,23897.9591836735,"stable potential","Time of Sample Trajectory"
"342",524,23918.3673469388,"stable potential","Time of Sample Trajectory"
"343",511,23938.7755102041,"stable potential","Time of Sample Trajectory"
"344",502,23959.1836734694,"stable potential","Time of Sample Trajectory"
"345",512,23979.5918367347,"stable potential","Time of Sample Trajectory"
"346",525,24000,"stable potential","Time of Sample Trajectory"
"347",515,24020.4081632653,"stable potential","Time of Sample Trajectory"
"348",518,24040.8163265306,"stable potential","Time of Sample Trajectory"
"349",499,24061.2244897959,"stable potential","Time of Sample Trajectory"
"350",487,24081.6326530612,"stable potential","Time of Sample Trajectory"
"351",495,24102.0408163265,"stable potential","Time of Sample Trajectory"
"352",500,24122.4489795918,"stable potential","Time of Sample Trajectory"
"353",510,24142.8571428571,"stable potential","Time of Sample Trajectory"
"354",527,24163.2653061224,"stable potential","Time of Sample Trajectory"
"355",510,24183.6734693878,"stable potential","Time of Sample Trajectory"
"356",517,24204.0816326531,"stable potential","Time of Sample Trajectory"
"357",527,24224.4897959184,"stable potential","Time of Sample Trajectory"
"358",519,24244.8979591837,"stable potential","Time of Sample Trajectory"
"359",536,24265.306122449,"stable potential","Time of Sample Trajectory"
"360",526,24285.7142857143,"stable potential","Time of Sample Trajectory"
"361",518,24306.1224489796,"stable potential","Time of Sample Trajectory"
"362",532,24326.5306122449,"stable potential","Time of Sample Trajectory"
"363",518,24346.9387755102,"stable potential","Time of Sample Trajectory"
"364",530,24367.3469387755,"stable potential","Time of Sample Trajectory"
"365",522,24387.7551020408,"stable potential","Time of Sample Trajectory"
"366",518,24408.1632653061,"stable potential","Time of Sample Trajectory"
"367",530,24428.5714285714,"stable potential","Time of Sample Trajectory"
"368",535,24448.9795918367,"stable potential","Time of Sample Trajectory"
"369",532,24469.387755102,"stable potential","Time of Sample Trajectory"
"370",524,24489.7959183673,"stable potential","Time of Sample Trajectory"
"371",518,24510.2040816327,"stable potential","Time of Sample Trajectory"
"372",514,24530.612244898,"stable potential","Time of Sample Trajectory"
"373",510,24551.0204081633,"stable potential","Time of Sample Trajectory"
"374",505,24571.4285714286,"stable potential","Time of Sample Trajectory"
"375",503,24591.8367346939,"stable potential","Time of Sample Trajectory"
"376",518,24612.2448979592,"stable potential","Time of Sample Trajectory"
"377",526,24632.6530612245,"stable potential","Time of Sample Trajectory"
"378",518,24653.0612244898,"stable potential","Time of Sample Trajectory"
"379",509,24673.4693877551,"stable potential","Time of Sample Trajectory"
"380",518,24693.8775510204,"stable potential","Time of Sample Trajectory"
"381",519,24714.2857142857,"stable potential","Time of Sample Trajectory"
"382",501,24734.693877551,"stable potential","Time of Sample Trajectory"
"383",502,24755.1020408163,"stable potential","Time of Sample Trajectory"
"384",504,24775.5102040816,"stable potential","Time of Sample Trajectory"
"385",506,24795.9183673469,"stable potential","Time of Sample Trajectory"
"386",510,24816.3265306122,"stable potential","Time of Sample Trajectory"
"387",516,24836.7346938776,"stable potential","Time of Sample Trajectory"
"388",502,24857.1428571429,"stable potential","Time of Sample Trajectory"
"389",499,24877.5510204082,"stable potential","Time of Sample Trajectory"
"390",503,24897.9591836735,"stable potential","Time of Sample Trajectory"
"391",514,24918.3673469388,"stable potential","Time of Sample Trajectory"
"392",514,24938.7755102041,"stable potential","Time of Sample Trajectory"
"393",526,24959.1836734694,"stable potential","Time of Sample Trajectory"
"394",537,24979.5918367347,"stable potential","Time of Sample Trajectory"
"395",541,25000,"stable potential","Time of Sample Trajectory"
"396",553,25020.4081632653,"stable potential","Time of Sample Trajectory"
"397",551,25040.8163265306,"stable potential","Time of Sample Trajectory"
"398",554,25061.2244897959,"stable potential","Time of Sample Trajectory"
"399",569,25081.6326530612,"stable potential","Time of Sample Trajectory"
"400",584,25102.0408163265,"stable potential","Time of Sample Trajectory"
"401",589,25122.4489795918,"stable potential","Time of Sample Trajectory"
"402",578,25142.8571428571,"stable potential","Time of Sample Trajectory"
"403",574,25163.2653061224,"stable potential","Time of Sample Trajectory"
"404",554,25183.6734693878,"stable potential","Time of Sample Trajectory"
"405",537,25204.0816326531,"stable potential","Time of Sample Trajectory"
"406",541,25224.4897959184,"stable potential","Time of Sample Trajectory"
"407",552,25244.8979591837,"stable potential","Time of Sample Trajectory"
"408",550,25265.306122449,"stable potential","Time of Sample Trajectory"
"409",546,25285.7142857143,"stable potential","Time of Sample Trajectory"
"410",565,25306.1224489796,"stable potential","Time of Sample Trajectory"
"411",557,25326.5306122449,"stable potential","Time of Sample Trajectory"
"412",566,25346.9387755102,"stable potential","Time of Sample Trajectory"
"413",579,25367.3469387755,"stable potential","Time of Sample Trajectory"
"414",579,25387.7551020408,"stable potential","Time of Sample Trajectory"
"415",570,25408.1632653061,"stable potential","Time of Sample Trajectory"
"416",557,25428.5714285714,"stable potential","Time of Sample Trajectory"
"417",556,25448.9795918367,"stable potential","Time of Sample Trajectory"
"418",553,25469.387755102,"stable potential","Time of Sample Trajectory"
"419",552,25489.7959183673,"stable potential","Time of Sample Trajectory"
"420",543,25510.2040816327,"stable potential","Time of Sample Trajectory"
"421",539,25530.612244898,"stable potential","Time of Sample Trajectory"
"422",539,25551.0204081633,"stable potential","Time of Sample Trajectory"
"423",541,25571.4285714286,"stable potential","Time of Sample Trajectory"
"424",524,25591.8367346939,"stable potential","Time of Sample Trajectory"
"425",527,25612.2448979592,"stable potential","Time of Sample Trajectory"
"426",530,25632.6530612245,"stable potential","Time of Sample Trajectory"
"427",511,25653.0612244898,"stable potential","Time of Sample Trajectory"
"428",497,25673.4693877551,"stable potential","Time of Sample Trajectory"
"429",508,25693.8775510204,"stable potential","Time of Sample Trajectory"
"430",524,25714.2857142857,"stable potential","Time of Sample Trajectory"
"431",533,25734.693877551,"stable potential","Time of Sample Trajectory"
"432",524,25755.1020408163,"stable potential","Time of Sample Trajectory"
"433",526,25775.5102040816,"stable potential","Time of Sample Trajectory"
"434",539,25795.9183673469,"stable potential","Time of Sample Trajectory"
"435",529,25816.3265306122,"stable potential","Time of Sample Trajectory"
"436",530,25836.7346938776,"stable potential","Time of Sample Trajectory"
"437",545,25857.1428571429,"stable potential","Time of Sample Trajectory"
