"","x","variable","value","panel"
"192",643.434343434343,"deteriorating",30980.4678862046,"Potential Energy"
"193",650.505050505051,"deteriorating",31384.203577876,"Potential Energy"
"194",657.575757575758,"deteriorating",31806.8718835084,"Potential Energy"
"195",664.646464646465,"deteriorating",32248.644602683,"Potential Energy"
"196",671.717171717172,"deteriorating",32709.687316633,"Potential Energy"
"197",678.787878787879,"deteriorating",33190.1596568183,"Potential Energy"
"198",685.858585858586,"deteriorating",33690.2155603037,"Potential Energy"
"199",692.929292929293,"deteriorating",34210.0035126464,"Potential Energy"
"200",700,"deteriorating",34749.6667789641,"Potential Energy"
"201",0,"critical",0,"Potential Energy"
"202",7.07070707070707,"critical",1425.16832867298,"Potential Energy"
"203",14.1414141414141,"critical",2866.52963794286,"Potential Energy"
"204",21.2121212121212,"critical",4315.41036792864,"Potential Energy"
"205",28.2828282828283,"critical",5763.39394811027,"Potential Energy"
"206",35.3535353535354,"critical",7202.43755063437,"Potential Energy"
"207",42.4242424242424,"critical",8624.97563967146,"Potential Energy"
"208",49.4949494949495,"critical",10024.0072904708,"Potential Energy"
"209",56.5656565656566,"critical",11393.1652441921,"Potential Energy"
"210",63.6363636363636,"critical",12726.7657056834,"Potential Energy"
"211",70.7070707070707,"critical",14019.8388921591,"Potential Energy"
"212",77.7777777777778,"critical",15268.1412269453,"Potential Energy"
"213",84.8484848484848,"critical",16468.1507912103,"Potential Energy"
"214",91.9191919191919,"critical",17617.0481689997,"Potential Energy"
"215",98.989898989899,"critical",18712.6851410157,"Potential Energy"
"216",106.060606060606,"critical",19753.5438136053,"Potential Energy"
"217",113.131313131313,"critical",20738.6887382005,"Potential Energy"
"218",120.20202020202,"critical",21667.7144177154,"Potential Energy"
"219",127.272727272727,"critical",22540.690347392,"Potential Energy"
"220",134.343434343434,"critical",23358.1054338665,"Potential Energy"
"221",141.414141414141,"critical",24120.8133088175,"Potential Energy"
"222",148.484848484848,"critical",24829.979727336,"Potential Energy"
"223",155.555555555556,"critical",25487.0329344514,"Potential Energy"
"224",162.626262626263,"critical",26093.6176081017,"Potential Energy"
"225",169.69696969697,"critical",26651.5527499379,"Potential Energy"
"226",176.767676767677,"critical",27162.7936990444,"Potential Energy"
"227",183.838383838384,"critical",27629.3982871179,"Potential Energy"
"228",190.909090909091,"critical",28053.4970339052,"Potential Energy"
"229",197.979797979798,"critical",28437.267194506,"Potential Energy"
"230",205.050505050505,"critical",28782.910410688,"Potential Energy"
"231",212.121212121212,"critical",29092.6336817248,"Potential Energy"
"232",219.191919191919,"critical",29368.6333518145,"Potential Energy"
