"","variable","value","data","model"
"277","Autocorrelation",0.506300932090546,"conditional","OU"
"278","Autocorrelation",0.335676875277408,"conditional","OU"
"279","Autocorrelation",0.268459831335996,"conditional","OU"
"280","Autocorrelation",-0.23665867731913,"conditional","OU"
"281","Autocorrelation",0.288664003550821,"conditional","OU"
"282","Autocorrelation",0.259163781624501,"conditional","OU"
"283","Autocorrelation",0.0321810918774967,"conditional","OU"
"284","Autocorrelation",0.49624500665779,"conditional","OU"
"285","Autocorrelation",0.00542920550377275,"conditional","OU"
"286","Autocorrelation",-0.144948069241012,"conditional","OU"
"287","Autocorrelation",0.289693741677763,"conditional","OU"
"288","Autocorrelation",0.772079893475366,"conditional","OU"
"289","Autocorrelation",0.164733244562805,"conditional","OU"
"290","Autocorrelation",-0.639875721260541,"conditional","OU"
"291","Autocorrelation",-0.382171327119396,"conditional","OU"
"292","Autocorrelation",-0.277336884154461,"conditional","OU"
"293","Autocorrelation",-0.536695960940968,"conditional","OU"
"294","Autocorrelation",0.220069241011984,"conditional","OU"
"295","Autocorrelation",-0.379607634265424,"conditional","OU"
"296","Autocorrelation",0.363621837549933,"conditional","OU"
"297","Autocorrelation",0.255953839325344,"conditional","OU"
"298","Autocorrelation",0.283699955614736,"conditional","OU"
"299","Autocorrelation",0.492481136262761,"conditional","OU"
"300","Autocorrelation",0.434830004438526,"conditional","OU"
"301","Autocorrelation",-0.213486018641811,"conditional","OU"
"302","Autocorrelation",-0.292243231247226,"conditional","OU"
"303","Autocorrelation",-0.433786063027075,"conditional","OU"
"304","Autocorrelation",-0.397766533510874,"conditional","OU"
"305","Variance",0.194331197825665,"null","OU"
"306","Variance",-0.47466511357018,"null","OU"
"307","Variance",0.14502038439138,"null","OU"
"308","Variance",0.909143855562027,"null","OU"
"309","Variance",-0.0075713453698311,"null","OU"
"310","Variance",-0.45641622985828,"null","OU"
"311","Variance",-0.499126383226558,"null","OU"
"312","Variance",-0.648223645894001,"null","OU"
"313","Variance",-0.342263638128519,"null","OU"
"314","Variance",-0.372937293729373,"null","OU"
"315","Variance",-0.525140749369054,"null","OU"
"316","Variance",-0.566297806251213,"null","OU"
"317","Variance",-0.284410794020579,"null","OU"
"318","Variance",0.856338575033974,"null","OU"
"319","Variance",-0.654047757716948,"null","OU"
"320","Variance",0.927781013395457,"null","OU"
"321","Variance",-0.984469035138808,"null","OU"
"322","Variance",-0.407105416423995,"null","OU"
"323","Variance",0.880023296447292,"null","OU"
"324","Variance",0.459522422830518,"null","OU"
"325","Variance",0.22267520869734,"null","OU"
"326","Variance",0.201320132013201,"null","OU"
"327","Variance",-0.249854397204426,"null","OU"
"328","Variance",-0.138031450203844,"null","OU"
"329","Variance",-0.253737138419724,"null","OU"
"330","Variance",-0.854008930304795,"null","OU"
"331","Variance",0.393127548048922,"null","OU"
"332","Variance",-0.34032226752087,"null","OU"
"333","Variance",0.546884100174723,"null","OU"
"334","Variance",0.165987186953989,"null","OU"
"335","Variance",0.656377402446127,"null","OU"
"336","Variance",0.903708017860609,"null","OU"
"337","Variance",-0.484760240729955,"null","OU"
"338","Variance",0.271597748010095,"null","OU"
"339","Variance",0.0937682003494467,"null","OU"
"340","Variance",-0.835371772471365,"null","OU"
"341","Variance",-0.212191807416036,"null","OU"
"342","Variance",-0.0432925645505727,"null","OU"
"343","Variance",-0.465734808774995,"null","OU"
"344","Variance",-0.821005629974762,"null","OU"
"345","Variance",-0.0502814987381091,"null","OU"
"346","Variance",0.566297806251213,"null","OU"
"347","Variance",-0.277810133954572,"null","OU"
"348","Variance",0.657153950689186,"null","OU"
"349","Variance",-0.41681226946224,"null","OU"
"350","Variance",-0.557367501456028,"null","OU"
"351","Variance",-0.43700252378179,"null","OU"
"352","Variance",-0.837701417200543,"null","OU"
"353","Variance",-0.133372160745486,"null","OU"
"354","Variance",-0.286352164628227,"null","OU"
"355","Variance",0.503397398563386,"null","OU"
"356","Variance",-0.59114735002912,"null","OU"
"357","Variance",0.503009124441856,"null","OU"
"358","Variance",-0.433896330809551,"null","OU"
"359","Variance",0.660648417782955,"null","OU"
"360","Variance",-0.218404193360512,"null","OU"
"361","Variance",0.696369636963696,"null","OU"
"362","Variance",0.365560085420307,"null","OU"
"363","Variance",0.470782372354882,"null","OU"
"364","Variance",-0.626092020966802,"null","OU"
"365","Variance",0.671131819064259,"null","OU"
"366","Variance",0.509998058629392,"null","OU"
"367","Variance",-0.958842943117841,"null","OU"
"368","Variance",0.484760240729955,"null","OU"
"369","Variance",-0.822170452339351,"null","OU"
"370","Variance",-0.800038827412153,"null","OU"
"371","Variance",0.331780236847214,"null","OU"
"372","Variance",-0.834206950106775,"null","OU"
"373","Variance",-0.0467870316443409,"null","OU"
"374","Variance",0.503009124441856,"null","OU"
"375","Variance",0.14540865851291,"null","OU"
"376","Variance",-0.284022519899049,"null","OU"
"377","Variance",-0.763541059988352,"null","OU"
"378","Variance",-0.186953989516599,"null","OU"
"379","Variance",0.415647447097651,"null","OU"
"380","Variance",0.628033391574451,"null","OU"
"381","Variance",-0.271986022131625,"null","OU"
"382","Variance",0.251795767812075,"null","OU"
"383","Variance",-0.408270238788585,"null","OU"
"384","Variance",-0.176470588235294,"null","OU"
"385","Variance",0.602407299553485,"null","OU"
"386","Variance",0.313531353135313,"null","OU"
"387","Variance",0.487089885459134,"null","OU"
"388","Variance",-0.84391380314502,"null","OU"
"389","Variance",0.578334304018637,"null","OU"
"390","Variance",-0.0731896719083673,"null","OU"
"391","Variance",-0.831877305377596,"null","OU"
"392","Variance",-0.962725684333139,"null","OU"
"393","Variance",-0.536012424771889,"null","OU"
"394","Variance",0.0223257619879635,"null","OU"
"395","Variance",0.517763541059988,"null","OU"
"396","Variance",0.468841001747233,"null","OU"
"397","Variance",-0.178023684721413,"null","OU"
"398","Variance",0.196660842554844,"null","OU"
"399","Variance",-0.680062123859445,"null","OU"
"400","Variance",-0.411764705882353,"null","OU"
"401","Variance",-0.521258008153756,"null","OU"
"402","Variance",0.249854397204426,"null","OU"
"403","Variance",-0.302659677732479,"null","OU"
"404","Variance",-0.35818287711124,"null","OU"
"405","Variance",0.198990487284022,"null","OU"
"406","Variance",-0.546495826053193,"null","OU"
"407","Variance",-0.220345563968161,"null","OU"
"408","Variance",0.438167346146379,"null","OU"
"409","Variance",-0.146961754999029,"null","OU"
"410","Variance",0.43622597553873,"null","OU"
"411","Variance",0.868375072801398,"null","OU"
"412","Variance",0.57289846631722,"null","OU"
"413","Variance",0.51504562220928,"null","OU"
"414","Variance",-0.174529217627645,"null","OU"
"415","Variance",-0.469229275868763,"null","OU"
"416","Variance",-0.37837313143079,"null","OU"
"417","Variance",-0.344205008736168,"null","OU"
"418","Variance",0.0067947971267715,"null","OU"
"419","Variance",-0.269268103280916,"null","OU"
"420","Variance",-0.808580858085808,"null","OU"
"421","Variance",0.0114540865851291,"null","OU"
"422","Variance",0.487866433702194,"null","OU"
"423","Variance",-0.898660454280722,"null","OU"
"424","Variance",-0.264608813822559,"null","OU"
"425","Variance",-0.504562220927975,"null","OU"
"426","Variance",0.353911861774413,"null","OU"
"427","Variance",0.181129877693652,"null","OU"
"428","Variance",-0.698311007571345,"null","OU"
"429","Variance",-0.731314307901378,"null","OU"
"430","Variance",0.6299747621821,"null","OU"
"431","Variance",0.80469811687051,"null","OU"
"432","Variance",-0.191225004853426,"null","OU"
"433","Variance",0.391574451562803,"null","OU"
"434","Variance",0.595806639487478,"null","OU"
"435","Variance",-0.366724907784896,"null","OU"
"436","Variance",-0.661424966026014,"null","OU"
"437","Variance",0.485148514851485,"null","OU"
"438","Variance",0.405164045816346,"null","OU"
"439","Variance",-0.247913026596777,"null","OU"
"440","Variance",0.284410794020579,"null","OU"
"441","Variance",-0.424577751892836,"null","OU"
"442","Variance",-0.414094350611532,"null","OU"
"443","Variance",-0.389633080955154,"null","OU"
"444","Variance",-0.834206950106775,"null","OU"
"445","Variance",0.739468064453504,"null","OU"
"446","Variance",-0.750339739856338,"null","OU"
"447","Variance",0.677344205008736,"null","OU"
"448","Variance",-0.724713647835372,"null","OU"
"449","Variance",-0.0809551543389633,"null","OU"
"450","Variance",-0.543001358959425,"null","OU"
"451","Variance",0.103863327509221,"null","OU"
"452","Variance",0.884294311784119,"null","OU"
"453","Variance",-0.487478159580664,"null","OU"
"454","Variance",0.837313143079014,"null","OU"
"455","Variance",0.711124053581829,"null","OU"
"456","Variance",0.325956125024267,"null","OU"
"457","Variance",-0.803533294505921,"null","OU"
"458","Variance",-0.263832265579499,"null","OU"
"459","Variance",-0.186953989516599,"null","OU"
"460","Variance",-0.758881770529994,"null","OU"
"461","Variance",0.724713647835372,"null","OU"
"462","Variance",-0.297223840031062,"null","OU"
"463","Variance",0.423801203649777,"null","OU"
"464","Variance",-0.409435061153174,"null","OU"
"465","Variance",-0.348864298194525,"null","OU"
"466","Variance",0.684721413317802,"null","OU"
"467","Variance",0.10735779460299,"null","OU"
"468","Variance",-0.604348670161134,"null","OU"
"469","Variance",0.122112211221122,"null","OU"
"470","Variance",-0.421083284799068,"null","OU"
"471","Variance",0.446321102698505,"null","OU"
"472","Variance",0.635410599883518,"null","OU"
"473","Variance",0.672296641428849,"null","OU"
"474","Variance",-0.78644923315861,"null","OU"
"475","Variance",0.546884100174723,"null","OU"
"476","Variance",0.496408464375849,"null","OU"
"477","Variance",-0.26189089497185,"null","OU"
"478","Variance",0.655989128324597,"null","OU"
"479","Variance",0.216462822752863,"null","OU"
"480","Variance",-0.118229470005824,"null","OU"
"481","Variance",-0.266161910308678,"null","OU"
"482","Variance",-0.574839836924869,"null","OU"
"483","Variance",-0.362065618326538,"null","OU"
"484","Variance",0.402834401087167,"null","OU"
"485","Variance",0.273150844496214,"null","OU"
"486","Variance",0.270044651523976,"null","OU"
"487","Variance",-0.84352552902349,"null","OU"
"488","Variance",0.61133760434867,"null","OU"
"489","Variance",-0.245971655989128,"null","OU"
"490","Variance",-0.557755775577558,"null","OU"
"491","Variance",-0.361289070083479,"null","OU"
"492","Variance",-0.483983692486896,"null","OU"
"493","Variance",-0.373713841972432,"null","OU"
"494","Variance",0.22267520869734,"null","OU"
"495","Variance",-0.836924868957484,"null","OU"
"496","Variance",-0.820617355853232,"null","OU"
"497","Variance",0.906814210832848,"null","OU"
"498","Variance",0.6703552708212,"null","OU"
"499","Variance",0.545719277810134,"null","OU"
"500","Variance",-0.430013589594253,"null","OU"
"501","Variance",-0.450592118035333,"null","OU"
"502","Variance",-0.856338575033974,"null","OU"
"503","Variance",0.508444962143273,"null","OU"
"504","Variance",-0.228499320520287,"null","OU"
"505","Variance",0.472723742962531,"null","OU"
"506","Variance",0.683168316831683,"null","OU"
"507","Variance",0.733643952630557,"null","OU"
"508","Variance",0.0196078431372549,"null","OU"
"509","Variance",-0.695204814599107,"null","OU"
"510","Variance",0.478936128907008,"null","OU"
"511","Variance",0.375655212580081,"null","OU"
"512","Variance",0.808192583964279,"null","OU"
"513","Variance",-0.539506891865657,"null","OU"
"514","Variance",0.539118617744127,"null","OU"
"515","Variance",-0.192778101339546,"null","OU"
"516","Variance",-0.576781207532518,"null","OU"
"517","Variance",0.407881964667055,"null","OU"
"518","Variance",-0.700640652300524,"null","OU"
"519","Variance",-0.400893030479518,"null","OU"
"520","Variance",-0.813240147544166,"null","OU"
"521","Variance",-0.41681226946224,"null","OU"
"522","Variance",-0.641622985827994,"null","OU"
"523","Variance",-0.195884294311784,"null","OU"
"524","Variance",0.240924092409241,"null","OU"
"525","Variance",-0.177247136478354,"null","OU"
"526","Variance",-0.393904096291982,"null","OU"
"527","Variance",0.472335468841002,"null","OU"
"528","Variance",-0.899048728402252,"null","OU"
"529","Variance",0.505727043292564,"null","OU"
"530","Variance",0.583770141720054,"null","OU"
"531","Variance",0.706464764123471,"null","OU"
"532","Variance",0.661424966026014,"null","OU"
"533","Variance",-0.596971461852068,"null","OU"
"534","Variance",0.0231023102310231,"null","OU"
"535","Variance",-0.653271209473889,"null","OU"
"536","Variance",-0.712677150067948,"null","OU"
"537","Variance",-0.176858862356824,"null","OU"
"538","Variance",-0.285187342263638,"null","OU"
"539","Variance",0.547660648417783,"null","OU"
